domain,base_url,selector_hospital_names,official_url_examples,sources,total_records
cqszx.gov.cn,https://www.cqsfybjy.com/,,http://cqszx.gov.cn/zwgk_260/zfxxgkml_2/syryzkly/202108/t20210803_9537842.html,官网url.txt,1
cqszyy.com,https://www.cqsfybjy.com/,,http://www.cqszyy.com/index.php?s=/personnel/info/id/4364.html,官网url.txt,1
cqtn.gov.cn,https://www.cqsfybjy.com/,,https://www.cqtn.gov.cn/zwgk_184/sydwgkzp_tnqzf/202510/t20251027_15116070.html,官网url.txt,1
cqwl.gov.cn,https://www.cqsfybjy.com/,,https://cqwl.gov.cn/zwgk_170/zfxxgkmls/sydwgkzp/202508/t20250814_14902592.html,官网url.txt,1
cqws.gov.cn,https://www.cqsfybjy.com/,,http://www.cqws.gov.cn/xzfbm_73744/fzhggwyh_74252/zwgk_72016/zfxxgk/sydwgkzp/202509/t20250904_14967353.html,官网url.txt,1
cqws120.cn,https://www.cqsfybjy.com/,,http://www.cqws120.cn/zpyc/rczp/8222.html,官网url.txt,1
cqwsrc.com,https://www.cqsfybjy.com/,,http://cqwsrc.com/Jobs/NetJobsShow-51746-13.html,官网url.txt,1
cqwx.gov.cn,https://www.cqsfybjy.com/,,http://www.cqwx.gov.cn/bm/xrlsbj/zwgk_68174/fdzdgknr_68177/zkly/202508/t20250814_14902717.html,官网url.txt,1
cqybhr.com,https://www.cqsfybjy.com/,,http://www.cqybhr.com/notice/notice-show.php?id=1501,官网url.txt,1
cqyc.gov.cn,https://www.cqsfybjy.com/,,http://www.cqyc.gov.cn/zwgk_204/zfxxgk/zfxxgkml/qtfdzdgknr/qtzlp/202107/t20210727_9510073.html,官网url.txt,1
cqycqzyy.com,https://www.cqsfybjy.com/,,https://www.cqycqzyy.com/e/action/ShowInfo.php?classid=110&id=2870,官网url.txt,1
cqyygz.com,https://www.cqsfybjy.com/,,http://www.cqyygz.com/info/1023/12780.htm,官网url.txt,1
cqyyxyy.cn,https://www.cqsfybjy.com/,,http://www.cqyyxyy.cn/,官网url.txt,1
cqzl.vhzhaopin.com,https://www.cqsfybjy.com/,,http://cqzl.vhzhaopin.com/announceDetail/1bd0fd4c2018478e99acc71db5e66b15?noticeId=1bd0fd4c2018478e99acc71db5e66b15,官网url.txt,1
cqzxrmyy.com,https://www.cqsfybjy.com/,,https://www.cqzxrmyy.com/news_42/807.html,官网url.txt,1
cssdsyy.com,https://www.cqsfybjy.com/,,http://www.cssdsyy.com/2021/gonggao_0910/3807.html,官网url.txt,1
dachuan.gov.cn,https://www.cqsfybjy.com/,,https://www.dachuan.gov.cn/news-show-159505.html,官网url.txt,1
day.gov.cn,https://www.cqsfybjy.com/,,http://www.day.gov.cn/day/c138361/2023-10/10/content_b79ea35e2d4f42c5a9b832df39ecc2ef.shtml,官网url.txt,1
daying.gov.cn,https://www.cqsfybjy.com/,,https://www.daying.gov.cn/gongkai/show/407ff4795156fc8d0e10204aa9ac1c03.html,官网url.txt,1
dazu.gov.cn,https://www.cqsfybjy.com/,,http://www.dazu.gov.cn/qzfbm/qrlsbj/zwgk_53321/fdzdgknr_53323/gzgx/sydwzk/202108/t20210803_9536371.html,官网url.txt,1
dbsrcw.com,https://www.cqsfybjy.com/,,http://www.dbsrcw.com/,官网url.txt,1
dbxq.chengdu.gov.cn,https://www.cqsfybjy.com/,,http://dbxq.chengdu.gov.cn/dbxq/c140646/2024-04/18/content_09a65acf3cc74fa89341b1a0ff1835da.shtml,官网url.txt,1
deyang.gov.cn,https://www.cqsfybjy.com/,,https://www.deyang.gov.cn/gk/fjbm/fwjw/fadingnarong/gqgg/1912330.htm,官网url.txt,1
djy.gov.cn,https://www.cqsfybjy.com/,,http://www.djy.gov.cn/dyjgb_rmzfwz/c129255/2023-08/30/content_136fbe8017c14b88a83a9c8962e47885.shtml,官网url.txt,1
djysfybjy.com,https://www.cqsfybjy.com/,,http://www.djysfybjy.com/show-160-456-1.html,官网url.txt,1
djyszyy.com,https://www.cqsfybjy.com/,,http://www.djyszyy.com/news_show.aspx?id=111&channel=news,官网url.txt,1
djyylzx.com,https://www.cqsfybjy.com/,,http://www.djyylzx.com/newshow.aspx?mid=135&id=18043,官网url.txt,1
dp.gov.cn,https://www.cqsfybjy.com/,,https://www.dp.gov.cn/dprsj/info/1005/4751.htm,官网url.txt,1
dva.sc.gov.cn,https://www.cqsfybjy.com/,,https://dva.sc.gov.cn/tyjrswt/gsggsingle/2025/11/14/9504bb5b810749769505074dd7691244.shtml,官网url.txt,1
dxzyy.com,https://www.cqsfybjy.com/,,http://www.dxzyy.com/bencandy.php?fid=90&id=516,官网url.txt,1
dyjkqyy.com,https://www.cqsfybjy.com/,,http://www.dyjkqyy.com/a/tongzhigonggao/2022/1122/2576.html,官网url.txt,1
dykszx.cn,https://www.cqsfybjy.com/,,https://www.dykszx.cn/index.php?id=2765,官网url.txt,1
dykszx.com,https://www.cqsfybjy.com/,,https://www.dykszx.com/index.php?id=1735,官网url.txt,1
dylj120.com,https://www.cqsfybjy.com/,,http://www.dylj120.com/a/gonggao/2021/0716/205.html,官网url.txt,1
dymhc.cn,https://www.cqsfybjy.com/,,http://www.dymhc.cn/Html/NewsView.asp?ID=1716&SortID=22,官网url.txt,1
dymhc.com,https://www.cqsfybjy.com/,,"http://www.dymhc.com/Html/NewsList.asp?SortID=22&SortPath=0,22,",官网url.txt,1
dyxrmyy.com,https://www.cqsfybjy.com/,,https://www.dyxrmyy.com/index/detail/1977,官网url.txt,1
dzbjy.com,https://www.cqsfybjy.com/,,http://www.dzbjy.com/fuyouxinwen/tongzhigonggao/20210719/7467.html,官网url.txt,1
dzrsks.com.cn,https://www.cqsfybjy.com/,,http://www.dzrsks.com.cn/newsDetail/7220.html,官网url.txt,1
dzstcqrmyy.cn,https://www.cqsfybjy.com/,,http://www.dzstcqrmyy.cn/index.php?m=content&c=index&a=show&catid=9&id=1010,官网url.txt,1
dzstcqrmyy.com,https://www.cqsfybjy.com/,,http://www.dzstcqrmyy.com/index.php?m=content&c=index&a=show&catid=9&id=502,官网url.txt,1
dzstcqzyy.com,https://www.cqsfybjy.com/,,https://www.dzstcqzyy.com/index.php?m=content&c=index&a=show&catid=27&id=264,官网url.txt,1
eb.gov.cn,https://www.cqsfybjy.com/,,http://www.eb.gov.cn/ebyzzzx/ebrszk/202411/4e7115af4d674cdcb5716ff5f06e3799.shtml,官网url.txt,1
edu.sc.gov.cn,https://www.cqsfybjy.com/,,http://edu.sc.gov.cn/scedu/c100495/2024/4/3/dd0439f4689343b69c06fb547f8ea3f4.shtml,官网url.txt,1
emeishan.gov.cn,https://www.cqsfybjy.com/,,http://www.emeishan.gov.cn/emss/rszk/202504/da20b0e441234152bb72e692ab4122ab.shtml,官网url.txt,1
ems120.cn,https://www.cqsfybjy.com/,,http://www.ems120.cn/nd.jsp?id=316,官网url.txt,1
emsrmyy.cn,https://www.cqsfybjy.com/,,https://www.emsrmyy.cn/nd.jsp?fromColId=105&id=801,官网url.txt,1
emsrmyy.com,https://www.cqsfybjy.com/,,https://www.emsrmyy.com/nd.jsp?fromColId=105&id=593,官网url.txt,1
emtcm.com,https://www.cqsfybjy.com/,,https://www.emtcm.com/info/1021/6972.htm,官网url.txt,1
enyang120.com,https://www.cqsfybjy.com/,,http://www.enyang120.com/recruit/0930730.html,官网url.txt,1
et.airchina.com.cn,https://www.cqsfybjy.com/,,https://et.airchina.com.cn/cn/about_us/recruitment/ground_crew_info/184466.shtml,官网url.txt,1
eyq120.com,https://www.cqsfybjy.com/,,http://www.eyq120.com/go.htm?url=news_detail&id=65955,官网url.txt,1
f.wps.cn,https://www.cqsfybjy.com/,,https://f.wps.cn/g/Pjw4Jwh5/,官网url.txt,1
fjsfy.com,https://www.cqsfybjy.com/,,http://www.fjsfy.com:8001/report/0de0efc13cc14ab1898c7eafef0b2d32.htm,官网url.txt,1
fjsl.com.cn,https://www.cqsfybjy.com/,,http://www.fjsl.com.cn/info/22471.jspx,官网url.txt,1
fl.gov.cn,https://www.cqsfybjy.com/,,http://www.fl.gov.cn/zwxx_206/bmfw_20221017q/zpxx/sydwzp/202310/t20231031_12495309.html,官网url.txt,1
flqfybjy.com,https://www.cqsfybjy.com/,,http://www.flqfybjy.com/page38,官网url.txt,1
fsthr.com,https://www.cqsfybjy.com/,,https://www.fsthr.com/post/item.html?postID=21909,官网url.txt,1
fsxzyyy.com,https://www.cqsfybjy.com/,,http://www.fsxzyyy.com/rczp-View-422-1038.html,官网url.txt,1
fsyy.sxyyc.net,https://www.cqsfybjy.com/,,https://fsyy.sxyyc.net/info/1082/1631.htm,官网url.txt,1
fybj.net,https://www.cqsfybjy.com/,,https://www.fybj.net/news/2026/mep9o1aM.html,官网url.txt,1
gadj.gov.cn,https://www.cqsfybjy.com/,,http://www.gadj.gov.cn/news/noticeinfo.html?id=25d02f4acbcc4454bf5ea10611f3391f&num=1,官网url.txt,1
gajkq.guang-an.gov.cn,https://www.cqsfybjy.com/,,https://gajkq.guang-an.gov.cn/gjjgajjjskfq/c104015/pc/content/content_1976541768739262464.html,官网url.txt,1
gaoping.gov.cn,https://www.cqsfybjy.com/,,https://www.gaoping.gov.cn/xwdt/tzgg/bmgg/202507/t20250731_2233738.html,官网url.txt,1
gaoxian.gov.cn,https://www.cqsfybjy.com/,,http://www.gaoxian.gov.cn/zwgk/tzgg/202405/t20240530_1990377.html,官网url.txt,1
gaoxinqu.my.gov.cn,https://www.cqsfybjy.com/,,http://gaoxinqu.my.gov.cn/zwgk/gsgg/37436701.html,官网url.txt,1
gaszyyy.com,https://www.cqsfybjy.com/,,http://www.gaszyyy.com/contents/188/9516.html,官网url.txt,1
gaxz.cn,https://www.cqsfybjy.com/,,https://www.gaxz.cn/xxgk/news2/2024-06-27/497.html,官网url.txt,1
gk.chengdu.gov.cn,https://www.cqsfybjy.com/,,http://gk.chengdu.gov.cn/govInfo/detail.action?id=3502723&tn=2,官网url.txt,1
glxrmyy.cn,https://www.cqsfybjy.com/,,http://www.glxrmyy.cn/go-a956.htm,官网url.txt,1
gongkaoleida.com,https://www.cqsfybjy.com/,,https://www.gongkaoleida.com/user/article/1989600,官网url.txt,1
gongxian.gov.cn,https://www.cqsfybjy.com/,,http://www.gongxian.gov.cn/xxgk/fdzdgknr/zkly/202211/t20221121_1793146.html,官网url.txt,1
guang-an.gov.cn,https://www.cqsfybjy.com/,,http://www.guang-an.gov.cn/zfxxgk/xxgkxq/zfxxgk_xq.shtml?gkfwjg=%E5%B9%BF%E5%AE%89%E5%B8%82%E5%8D%AB%E7%94%9F%E5%81%A5%E5%BA%B7%E5%A7%94%E5%91%98%E4%BC%9A&path=/zfxxgk/zkly/2023-01/19/content_e3ed90c6e3104531b4f2d9b205ca6d44.shtml,官网url.txt,1
guanganqu.gov.cn,https://www.cqsfybjy.com/,,https://www.guanganqu.gov.cn/gaqrmzf/qtzk/pc/content/content_1964883872012492800.html,官网url.txt,1
guanghan.gov.cn,https://www.cqsfybjy.com/,,http://www.guanghan.gov.cn/gk/xxgk/jbxxgk/fd/gqgg/1654706.htm,官网url.txt,1
guipeibao.com,https://www.cqsfybjy.com/,,http://www.guipeibao.com/,官网url.txt,1
gulin.gov.cn,https://www.cqsfybjy.com/,,http://www.gulin.gov.cn/zwgk/fdzdgknr/rszl/content_82010,官网url.txt,1
gxq.leshan.gov.cn,https://www.cqsfybjy.com/,,https://gxq.leshan.gov.cn/sgxq/tzgg/202508/955769c4d8cf405d8a17329db25b0c2f.shtml,官网url.txt,1
gy072.com,https://www.cqsfybjy.com/,,http://www.gy072.com/article.html?id=38823,官网url.txt,1
gycch.com,https://www.cqsfybjy.com/,,https://www.gycch.com/list.html?cls1=2&cls2=20,官网url.txt,1
gyct.gov.cn,https://www.cqsfybjy.com/,,https://www.gyct.gov.cn/new/detail/20250815173358146.html,官网url.txt,1
gyjsws.com,https://www.cqsfybjy.com/,,https://www.gyjsws.com/article.html?id=10061,官网url.txt,1
gylzqzyy.com,https://www.cqsfybjy.com/,,http://gylzqzyy.com/xinwendongtai/tongzhigonggao/20210830/8279.html,官网url.txt,1
gysdsrmyy.cn,https://www.cqsfybjy.com/,,https://www.gysdsrmyy.cn/article.html?id=11558,官网url.txt,1
gyszyy.net,https://www.cqsfybjy.com/,,http://www.gyszyy.net/article.html?id=10479,官网url.txt,1
gz.sanxiahr.com,https://www.cqsfybjy.com/,,http://gz.sanxiahr.com/cnnews_1626325993807417648.html,官网url.txt,1
gzw.cq.gov.cn,https://www.cqsfybjy.com/,,http://gzw.cq.gov.cn/gqzp/202402/t20240201_12892070.html,官网url.txt,1
gzzrmyy.cn,https://www.cqsfybjy.com/,,https://www.gzzrmyy.cn/xxgk_rczp/010012900000830.html,官网url.txt,1
gzzrmyy.com,https://www.cqsfybjy.com/,,http://www.gzzrmyy.com/newsshow.php?cid=15&id=523,官网url.txt,1
gzzrsks.com.cn,https://www.cqsfybjy.com/,,http://www.gzzrsks.com.cn/newsDetail/26531.html,官网url.txt,1
hc.gov.cn,https://www.cqsfybjy.com/,,http://www.hc.gov.cn/bmjd/bm_100475/rlsbj/zwxx_101296/gkzp_1/202108/t20210803_9538111.html,官网url.txt,1
heishui.gov.cn,https://www.cqsfybjy.com/,,https://www.heishui.gov.cn/hsxrmzf/c100053/202507/277fa1c41bd04760ac7cb9634b84b011.shtml,官网url.txt,1
hejiang.gov.cn,https://www.cqsfybjy.com/,,http://www.hejiang.gov.cn/gk/fdzdgknr/rszl/content_182893,官网url.txt,1
hongyuan.gov.cn,https://www.cqsfybjy.com/,,https://www.hongyuan.gov.cn/hyxrmzf/c100053/202508/7a20511d4eb848c9965fb70fb5d69430.shtml,官网url.txt,1
hospital.cdut.edu.cn,https://www.cqsfybjy.com/,,http://www.hospital.cdut.edu.cn/info/1083/2134.htm,官网url.txt,1
hospital.cqu.edu.cn,https://www.cqsfybjy.com/,,http://hospital.cqu.edu.cn/info/1013/3082.htm,官网url.txt,1
hospital.hf.cas.cn,https://www.cqsfybjy.com/,,http://hospital.hf.cas.cn/hfzl/rczp_2019/zpxx_2019/202109/t20210903_660653.html,官网url.txt,1
hospital.swjtu.edu.cn,https://www.cqsfybjy.com/,,https://hospital.swjtu.edu.cn/info/1009/5948.htm,官网url.txt,1
hqbzb.scu.edu.cn,https://www.cqsfybjy.com/,,https://hqbzb.scu.edu.cn/info/1024/6893.htm,官网url.txt,1
hqjt.sicnu.edu.cn,https://www.cqsfybjy.com/,,https://hqjt.sicnu.edu.cn/p/22/?StId=st_app_news_i_x638971855814572397,官网url.txt,1
hr.hxsiyuan.cn,https://www.cqsfybjy.com/,,http://hr.hxsiyuan.cn:7000/front/jobDetail?id=93f602b9b75443d492b868fe5cd655f3&sessionid=678174347,官网url.txt,1
